Date,News,Status
2016-06-04 20:54:07.597000,Vincent Trudel-Lapierre claimed 1 unowned territory,YES
2016-06-06 10:29:55.789000,Leila H claimed 7 unowned territories,YES
2016-06-06 10:29:55.789000,Leila H conquered 2 territories from Yibing Wen,YES
2016-06-06 10:29:55.789000,Yibing Wen claimed 1 unowned territory,YES
2016-06-06 10:29:55.789000,Vitor Lima claimed 20 unowned territories,YES
2016-06-06 10:29:55.789000,Vitor Lima conquered 3 territories from Yibing Wen,YES
2016-06-06 10:29:55.789000,Vitor Lima conquered 1 territory from Vincent Trudel-Lapierre,YES
2016-06-09 10:50:59.485000,Josh Felker conquered 1 territory from Laurie McQueen,NO
2016-06-10 10:45:58.299000,Josh Felker conquered 1 territory from Sasha Wloski,NO
2016-06-11 11:01:11.885000,Frank Oduro claimed 4 unowned territories,NO
2016-06-12 11:16:29.482000,Mario Born conquered 2 territories from Sasha Wloski,NO
2016-06-12 11:16:29.482000,Mario Born conquered 2 territories from Vitor Lima,NO
2016-06-12 11:16:29.482000,Mario Born claimed 2 unowned territories,NO
2016-06-12 11:16:29.482000,Mario Born conquered 1 territory from Leila H,NO
2016-06-12 11:16:29.482000,Mario Born conquered 1 territory from Josh Felker,NO
2016-06-12 11:16:29.482000,Mario Born conquered 1 territory from Mathieu Gagné,NO
2016-06-13 09:07:05.519000,Mario Born conquered 1 territory from Vitor Lima,NO
2016-06-14 09:21:33.236000,Mario Born conquered 1 territory from Vincent Trudel-Lapierre,NO
2016-06-15 09:36:38.363000,Yibing Wen claimed 1 unowned territory,NO
2016-06-15 09:36:38.363000,Henry Jenkins claimed 4 unowned territories,NO
2016-06-15 09:36:38.363000,Henry Jenkins conquered 1 territory from Yibing Wen,NO
2016-06-15 09:36:38.363000,Henry Jenkins conquered 1 territory from Josh Felker,NO
2016-06-15 09:36:38.363000,Henry Jenkins conquered 1 territory from Mario Born,NO
2016-06-15 09:36:38.363000,Henry Jenkins conquered 1 territory from Mathieu Gagné,NO
2016-06-15 09:36:38.363000,Vincent Trudel-Lapierre conquered 1 territory from Frank Oduro,NO
2016-06-15 09:36:38.363000,Vincent Trudel-Lapierre claimed 1 unowned territory,NO
2016-06-16 09:51:49.772000,Vincent Trudel-Lapierre conquered 1 territory from Frank Oduro,NO
2016-06-16 09:51:49.772000,Vincent Trudel-Lapierre conquered 1 territory from Laurie McQueen,NO
2016-06-16 09:51:49.772000,Vincent Trudel-Lapierre claimed 1 unowned territory,NO
2016-06-16 20:02:54.101000,Mario Born conquered 7 territories from Frank Oduro,NO
2016-06-17 20:01:17.088000,Patrick Santeusanio conquered 1 territory from Eoin Craigie,NO
2016-06-17 20:01:17.088000,Sasha Wloski conquered 1 territory from Josh Felker,NO
2016-06-18 19:59:24.741000,Mike Sants claimed 1 unowned territory,NO
2016-06-20 19:57:52.222000,Vincent Trudel-Lapierre conquered 1 territory from Vitor Lima,NO
2016-06-21 10:42:56.001000,Henry Jenkins conquered 1 territory from Mario Born,NO
2016-06-24 09:07:23.172000,Yibing Wen conquered 1 territory from Henry Jenkins,NO
2016-06-24 09:07:23.172000,Henry Jenkins conquered 1 territory from Laurie McQueen,NO
2016-06-25 09:07:54.831000,Yibing Wen claimed 1 unowned territory,NO
2016-06-25 09:07:54.831000,Leila H claimed 4 unowned territories,NO
